release_date,title,production_budget,domestic_gross,worldwide_gross,year,movie_id,genres,director_name,actor_name,release_month,season,movie_profit/loss,top_actor,high_profit
2009-06-05,Home,12000000,0,0,2009,tt2393825,['Drama'],Jono Oliver,Joe Morton,June,Summer,-12000000,False,0
2009-06-05,Home,12000000,0,0,2009,tt2545384,"['Drama', 'Horror', 'Thriller']",Frank Lin,Nicolas Cage,June,Summer,-12000000,False,0
2009-06-05,Home,12000000,0,0,2009,tt2821866,['Drama'],James Bailey,Sam Auvil,June,Summer,-12000000,False,0
2009-06-05,Home,12000000,0,0,2009,tt3506448,['Documentary'],Júlio Alves,Nicolas Cage,June,Summer,-12000000,False,0
2009-06-05,Home,12000000,0,0,2009,tt4047846,['Drama'],Fien Troch,Sebastian Van Dun,June,Summer,-12000000,False,0
2009-06-05,Home,12000000,0,0,2009,tt4094360,['Documentary'],Anne Klint,Nicolas Cage,June,Summer,-12000000,False,0
2009-06-05,Home,12000000,0,0,2009,tt4352542,"['Biography', 'Documentary']",Ramón Gieling,Nicolas Cage,June,Summer,-12000000,False,0
2009-06-05,Home,12000000,0,0,2009,tt5884960,['Documentary'],Asaf Lavi Harel,Oren Cahanovich,June,Summer,-12000000,False,0
2009-06-05,Home,12000000,0,0,2009,tt8601408,"['Drama', 'Romance', 'Thriller']",Dario Pleic,Niksa Butijer,June,Summer,-12000000,False,0
2009-06-05,Home,12000000,0,0,2009,tt8883462,"['Drama', 'Family']",Randi Pratama,Nicolas Cage,June,Summer,-12000000,False,0
2009-06-05,Home,12000000,0,0,2009,tt9281490,['Documentary'],Damien O'Neill,Nicolas Cage,June,Summer,-12000000,False,0
2009-06-05,Home,12000000,0,0,2009,tt9701552,"['Action', 'History', 'War']",Vik Sivalingham,Joel Trill,June,Summer,-12000000,False,0
2016-09-23,The Dressmaker,11900000,2022115,24041617,2016,tt2910904,"['Comedy', 'Drama']",Jocelyn Moorhouse,Liam Hemsworth,September,Fall,12141617,False,1
2015-11-20,Carol,11800000,12711491,42843521,2015,tt2402927,"['Drama', 'Romance']",Todd Haynes,Kyle Chandler,November,Fall,31043521,False,1
